2025-12-22T22:05:00.798203 | RAM: 45.7/503.7GB (9.1%) | CPU: 25.72 | GPU util: 87.4% | VRAM: 98.2% | pending_eval: 1 | pending_combine: 0 | gpu_procs: 8 | eval_procs: 25
2025-12-22T22:06:00.936109 | RAM: 45.6/503.7GB (9.1%) | CPU: 24.99 | GPU util: 73.6% | VRAM: 98.2% | pending_eval: 4 | pending_combine: 0 | gpu_procs: 8 | eval_procs: 40
2025-12-22T22:07:01.129188 | RAM: 45.4/503.7GB (9.0%) | CPU: 28.07 | GPU util: 80.6% | VRAM: 98.2% | pending_eval: 5 | pending_combine: 1 | gpu_procs: 8 | eval_procs: 48
2025-12-22T22:08:01.402425 | RAM: 45.6/503.7GB (9.0%) | CPU: 29.75 | GPU util: 81.0% | VRAM: 98.2% | pending_eval: 3 | pending_combine: 5 | gpu_procs: 8 | eval_procs: 34
2025-12-22T22:09:01.593119 | RAM: 64.3/503.7GB (12.8%) | CPU: 33.27 | GPU util: 79.5% | VRAM: 98.2% | pending_eval: 5 | pending_combine: 0 | gpu_procs: 8 | eval_procs: 55
2025-12-22T22:10:01.764843 | RAM: 185.2/503.7GB (36.8%) | CPU: 46.48 | GPU util: 66.1% | VRAM: 98.2% | pending_eval: 7 | pending_combine: 20 | gpu_procs: 8 | eval_procs: 54
2025-12-22T22:11:02.003110 | RAM: 45.5/503.7GB (9.0%) | CPU: 44.71 | GPU util: 82.8% | VRAM: 98.2% | pending_eval: 2 | pending_combine: 7 | gpu_procs: 8 | eval_procs: 33
2025-12-22T22:12:02.193034 | RAM: 45.5/503.7GB (9.0%) | CPU: 37.78 | GPU util: 79.0% | VRAM: 98.2% | pending_eval: 5 | pending_combine: 1 | gpu_procs: 8 | eval_procs: 46
2025-12-22T22:13:02.574732 | RAM: 45.6/503.7GB (9.1%) | CPU: 34.78 | GPU util: 76.8% | VRAM: 98.2% | pending_eval: 6 | pending_combine: 6 | gpu_procs: 8 | eval_procs: 46
2025-12-22T22:14:02.824042 | RAM: 45.5/503.7GB (9.0%) | CPU: 34.33 | GPU util: 78.5% | VRAM: 98.2% | pending_eval: 4 | pending_combine: 5 | gpu_procs: 8 | eval_procs: 42
2025-12-22T22:15:03.056046 | RAM: 45.6/503.7GB (9.0%) | CPU: 36.68 | GPU util: 77.9% | VRAM: 98.2% | pending_eval: 2 | pending_combine: 5 | gpu_procs: 8 | eval_procs: 30
